Бор;;;0
Бордовый / бежевый;;;1
Графит;;;0
Кремовый / розовый;;EEE4D9;1
Леопард;;;0
Леопардовый;;;0
Леопардовый / белый;;;1
Леопардовый / Серый;;;1
Леопардовый / черный;;;1
Лиловый / зеленый;;;1
Малиновый / белый;;;1
Металлический / черный;;;1
Микс;;;0
Молочно / коричневый;;;1
Молочный / бежевый;;;1
Молочный / золотой;;;1
Молочный / коричневый;;;1
Молочный / св. бежевый;;;1
Молочный / св. коричневый;;;1
Молочный / св.золотой;;;1
Молочный / тем. коричневый;;;1
Молочный / черный;;;1
Молочный/ белый;;;1
Песочный / кремовый;;;1
Песочный/бежевый;;;1
Платиновый;;;0
Св. бежевый / коричневый;;;1
Св. бежевый / молочный;;;1
Св. бежевый / Синий;;;1
Св. бежевый / черный;;;1
Св. золотой / бежевый;;;1
Св. золотой / красный;;;1
Св. коричневый;;;0
Св. коричневый / бежевый;;;1
Св. коричневый / бордовый;;;1
Св. коричневый / коричневый;;;1
Св. коричневый / песочный;;;1
Св. коричневый / черный;;;1
Св. коричневый/ коричневый;;;1
Св. коричневый/ тем. коричневый;;;1
Св. коричневый/коричневый;;;1
Св. серый / св. розовый;;;1
Св. серый/ св. розовый;;;1
Св.коричневый;;;0
Св.коричневый / черный;;;1
Светло-бежевый;;;0
Светло-коричневый;;;0
Серебристо-бежевый;;;0
Серебряный / голубой;;;1
Серебряный / тем. серый / голубой;;;1
Серебряный/ белый;;;1
Серебряный/ голубой;;;1
Серо-зеленый;;;0
Серый /зелёный;;;1
Сине-серебристый;;;0
Табачный;;;0
Тем. бежевый / оранжевый;;;1
Тем. бежевый / св. бежевый;;;1
Тем. бирюзовый;;;0
Тем. бронзовый;;;0
Тем. бронзовый / золотой;;;1
Тем. золотой;;;0
Тем. хаки;;;0
Темно-розовый;;;0
Теракотовый;;;0
Терракотовый;;;0
Тигровый;;;0
Фундуковый;;;0
Черно-золотистый;;;0
ассорти;2;;0
Комбинированный;2;;0
Мультицвет;2;;0
Цветной;2;;0
Черн/фиолетовый;3;222222;1
Черно-бежевый;3;222222;0
Черно-белый леопард;3;222222;0
Черно-зеленый;3;222222;0
Черно-золотой;3;222222;0
Черно-коричнев.;3;222222;0
Черно-коричневый;3;222222;0
Черно-розовый;3;222222;0
Черно-серебряный;3;222222;0
Черно-серый;3;222222;0
Черно-синий;3;222222;0
Черный;3;000000;0
Черный / бежевый;3;222222;1
Черный / белый;3;222222;1
Черный / белый / бежевый;3;222222;1
Черный / белый / красный;3;222222;1
Черный / белый / серый;3;222222;1
Черный / бирюзовый;3;222222;1
Черный / бордовый;3;222222;1
Черный / бронзовый;3;222222;1
Черный / голубой;3;222222;1
Черный / желтый;3;222222;1
Черный / жёлтый;3;222222;1
Черный / зеленый;3;222222;1
Черный / золотой;3;222222;1
Черный / коричневый;3;222222;1
Черный / коричневый / бежевый;3;222222;1
Черный / коричневый / оранжевый;3;222222;1
Черный / красный;3;222222;1
Черный / красный / серебреный;3;222222;1
Черный / леопард;3;222222;1
Черный / леопардовый;3;222222;1
Черный / малиновый;3;222222;1
Черный / молочный;3;222222;1
Черный / оливковый;3;222222;1
Черный / оранжевый;3;222222;1
Черный / оранжевый / серый;3;222222;1
Черный / розовый;3;222222;1
Черный / розовый / серебряный;3;222222;1
Черный / салатовый;3;222222;1
Черный / св. бежевый;3;222222;1
Черный / св. бронзовый;3;222222;1
Черный / св. золотой;3;222222;1
Черный / св. коричневый;3;222222;1
Черный / серебряный;3;222222;1
Черный / серый;3;222222;1
Черный / серый / коричневый;3;222222;1
Черный / серый / серебряный;3;222222;1
Черный / серый / синий;3;222222;1
Черный / серый/ бордовый;3;222222;1
Черный / синий;3;222222;1
Черный / синий / красный;3;222222;1
Черный / синий / оран;3;222222;1
Черный / синий / оранжевый;3;222222;1
Черный / сиреневый;3;222222;1
Черный / тем. серебряный;3;222222;1
Черный / тем. серый;3;222222;1
Черный / тем. синий;3;222222;1
Черный / тем. синий / бежевый;3;222222;1
Черный / тем. синий / хаки;3;222222;1
Черный / фиолетовый;3;222222;1
Черный / хаки;3;222222;1
Черный / хаки / оранжевый;3;222222;1
Черный / цветной;3;222222;1
Черный /серебряный / бордовый;3;222222;1
черный микс;3;000000;0
Черный/ леопард;3;222222;1
Черный/ серебряный;3;222222;1
Черный/белый/красный;3;222222;1
Черный/красный;3;222222;1
Черный/серебряный;3;222222;1
Черный/синий/красный;3;222222;1
Черный/фиолетовый;3;222222;1
Черный-бежевый;3;222222;0
Металлический;4;C0C0C0;0
Св. серый;4;C0C0C0;0
Светло-серый;4;C0C0C0;0
Серебряный;4;C0C0C0;0
Серо-белый;4;C0C0C0;0
Серо-коричневый;4;C0C0C0;0
Серо-синий;4;C0C0C0;0
Серый;4;808080;0
Серый / бежевый;4;C0C0C0;1
Серый / белый;4;C0C0C0;1
Серый / белый / тем. синий;4;C0C0C0;1
Серый / голубой;4;C0C0C0;1
Серый / золотой;4;C0C0C0;1
Серый / коричневый;4;C0C0C0;1
Серый / красный;4;C0C0C0;1
Серый / леопардовый;4;C0C0C0;1
Серый / оранжевый;4;C0C0C0;1
Серый / розовый;4;C0C0C0;1
Серый / св. бежевый;4;C0C0C0;1
Серый / св. золотой;4;C0C0C0;1
Серый / серебряный;4;C0C0C0;1
Серый / синий;4;C0C0C0;1
Серый / синий / белый;4;C0C0C0;1
Серый / синий / черный;4;C0C0C0;1
Серый / тем. коричневый;4;C0C0C0;1
Серый / тем. синий;4;C0C0C0;1
Серый / хаки;4;C0C0C0;1
Серый / черный;4;C0C0C0;1
Серый / черный / серый;4;C0C0C0;1
Серый/ розовый;4;C0C0C0;1
Серый/бежевый;4;C0C0C0;1
Серый/бордовый;4;C0C0C0;1
Серый/голубой;4;C0C0C0;1
Серый/золотой;4;C0C0C0;1
Стальной;4;999999;0
Тем. серебряный;4;808080;0
Тем. серый;4;808080;0
Темно-серый;4;808080;0
Бордовый;5;800000;0
Бордовый / красный;5;800000;1
Бордовый / черный;5;800000;1
Бордовый/красный;5;800000;1
Вишневый;5;800000;0
Коралловый - бежевый;5;FF6600;0
Коралловый/Белый;5;FF6600;1
